feature,importance
drug_metformin,0.3174223
glp1_x_codx,0.23449127
drug_glp1,0.16697186
drug_sglt2,0.08820579
sglt2_x_codx,0.07918047
age_at_index,0.01001
atrial_fibrillation,0.009888532
days_since_t2dm_dx,0.009241003
mi,0.008686351
pvd,0.00828802
sglt2_x_cci,0.007843215
heart_failure,0.007629541
cci,0.0074522453
depression,0.0066166203
sex_female,0.0063128513
comorbidity_count,0.006296772
nafld,0.0061932327
hypertension,0.005819364
ckd,0.0056622503
sleep_apnea,0.004277091
retinopathy,0.003511226
stroke,0.0
nash,0.0
neuropathy,0.0
hyperlipidemia,0.0
age_over65,0.0
glp1_x_cci,0.0
obesity,0.0
