feature,coefficient
glp1_x_codx,0.08561070193356789
drug_glp1,0.08193942743252133
age_at_index,0.04148387679100884
drug_sglt2,0.04033160091848191
sglt2_x_cci,0.034278070613613494
pvd,0.021604176782521783
obesity,0.019229514057215454
age_over65,0.010033171247756767
hyperlipidemia,0.00641162119133429
sleep_apnea,0.0022259139870847624
neuropathy,0.0002581939094673298
nash,0.0
sex_female,-0.0008223818473219462
glp1_x_cci,-0.002035153872662226
depression,-0.0020449794362474983
hypertension,-0.0026770228455666027
comorbidity_count,-0.006931927176646118
days_since_t2dm_dx,-0.007763614450911015
cci,-0.008448590958616001
mi,-0.008478068392890241
stroke,-0.008583184400281064
ckd,-0.009158220632670928
retinopathy,-0.01047582354814753
heart_failure,-0.010656856045368179
nafld,-0.011580297894702355
sglt2_x_codx,-0.022337510641174094
atrial_fibrillation,-0.023413173618021525
drug_metformin,-0.09780252636762278
